,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,period
65,300657,弘信电子,0.78,34.48,,12.85,,7228.32,59.33,,04-23,2017_4
66,002476,宝莫股份,0.01,-44.21,,0.84,,827.04,-44.23,10派0.1,04-23,2017_4
67,601966,玲珑轮胎,0.87,-5.43,,12.57,,104782.6,3.72,10派2.62,04-23,2017_4
68,002527,新时达,0.22,-20.71,,4.97,,13766.95,-19.56,10派0.7,04-23,2017_4
69,300165,天瑞仪器,0.22,83.33,,6.6,,10370.91,86.05,10派0.7,04-23,2017_4
70,300666,江丰电子,0.33,0.0,,14.98,,6403.46,16.55,10派0.53,04-23,2017_4
71,603188,亚邦股份,0.87,-23.6,,14.03,,50070.79,-23.6,10派0.5,04-23,2017_4
72,300718,长盛轴承,1.53,41.67,,19.78,,12149.36,50.46,10派3.7转9.8,04-23,2017_4
73,002224,三力士,0.24,-29.41,,9.86,,16079.28,-28.8,10派0.5,04-23,2017_4
74,002251,步步高,0.17,0.41,,2.37,,14645.33,10.36,10派1,04-23,2017_4
75,601218,吉鑫科技,0.01,-94.85,,0.24,,607.4,-94.83,10派0.1,04-23,2017_4
76,002898,赛隆药业,0.5,-2.78,,17.84,,6450.51,5.32,,04-23,2017_4
77,603886,元祖股份,0.85,23.19,,18.19,,20351.33,62.88,,04-23,2017_4
78,002073,软控股份,0.1,-110.76,,2.01,,9205.22,-111.93,,04-23,2017_4
79,002625,光启技术,0.07,-68.18,,1.17,,8085.57,22.62,10派0.11转7,04-23,2017_4
80,002907,华森制药,0.31,14.86,,20.67,,11198.75,17.01,10派0.71,04-23,2017_4
81,300468,四方精创,0.84,13.51,,9.82,,8816.34,16.57,,04-23,2017_4
82,300040,九洲电气,0.29,-25.64,,5.49,,10010.56,-23.3,10派0.5,04-23,2017_4
83,002663,普邦股份,0.09,50.0,,3.36,,15188.47,44.41,10派0.09,04-23,2017_4
84,002723,金莱特,0.04,16.43,,1.19,,766.77,16.43,,04-23,2017_4
85,300387,富邦股份,0.55,-20.29,,9.16,,6856.11,-19.64,10派1转8,04-23,2017_4
86,603661,恒林股份,2.15,-38.92,,19.63,,16573.03,-37.17,10派8.9,04-23,2017_4
87,002328,新朋股份,0.21,0.0,,3.9,,9206.09,-3.51,10派0.45,04-23,2017_4
88,002913,奥士康,1.56,-11.36,,18.52,,17315.15,-9.03,,04-23,2017_4
89,300089,文化长城,0.17,-51.43,,4.1,,7346.18,-46.3,,04-23,2017_4
90,603040,新坐标,1.83,48.78,,21.04,,10524.79,89.71,,04-23,2017_4
91,002708,光洋股份,0.03,-81.9,,0.79,,1205.7,-81.31,10派0.2,04-23,2017_4
92,300340,科恒股份,1.04,213.84,,9.02,,12240.1,264.44,10派2转8,04-23,2017_4
93,002127,南极电商,0.34,70.0,,27.26,,53429.16,77.42,10派0.62转5,04-23,2017_4
94,300386,飞天诚信,0.3,3.45,,7.78,,12517.45,4.67,10派0.5,04-23,2017_4
95,300407,凯发电气,0.24,-46.67,,6.82,,6414.64,-47.32,10派0.5,04-23,2017_4
96,002861,瀛通通讯,0.76,-32.74,,9.78,,8578.82,-17.63,,04-23,2017_4
97,002886,沃特股份,0.59,-37.08,,8.21,,4036.14,-26.83,,04-23,2017_4
98,300494,盛天网络,0.36,-21.74,,9.21,,8589.2,-21.74,,04-23,2017_4
99,300587,天铁股份,0.68,-24.44,,8.75,,7115.74,0.89,,04-23,2017_4
100,300133,华策影视,0.36,33.33,,9.55,,63443.27,32.6,10派0.37,04-23,2017_4
101,300661,圣邦股份,1.74,-3.01,,17.25,,9387.1,16.33,,04-23,2017_4
102,300236,上海新阳,0.37,33.46,,5.69,,7240.95,33.11,10派1.3,04-23,2017_4
103,600533,栖霞建设,0.05,-72.27,,1.4,,5416.95,-72.28,10派0.5,04-21,2017_4
104,600086,东方金钰,0.17,-7.86,,7.44,,23118.6,-7.83,,04-21,2017_4
105,000005,世纪星源,0.01,-85.87,,1.18,,1530.84,-85.91,,04-21,2017_4
106,600781,辅仁药业,0.94,840.0,,15.54,,39200.38,2120.14,10派1.28,04-21,2017_4
107,000548,湖南投资,0.26,116.67,,8.19,,13040.0,122.21,10派0.5,04-21,2017_4
108,002678,珠江钢琴,0.17,6.25,,6.9,,16470.13,8.72,10派0.8转3,04-21,2017_4
109,600425,*ST青松,0.04,-109.52,,1.26,,5060.42,-108.79,,04-21,2017_4
110,300417,南华仪器,0.46,6.02,,8.9,,3723.74,6.02,10派2.5,04-21,2017_4
111,000823,超声电子,0.36,2.49,,6.25,,19190.83,2.5,10派0.8,04-21,2017_4
112,601229,上海银行,1.96,-24.9,16.27,12.63,-7.78,1532849.9,7.13,10派5转4,04-21,2017_4
113,601801,皖新传媒,0.56,0.0,,12.48,,111667.71,5.48,10派1.7,04-21,2017_4
114,002047,宝鹰股份,0.29,7.41,,12.32,,36676.77,8.03,10派0.4,04-21,2017_4
115,300180,华峰超纤,0.45,104.55,,6.65,,24929.17,147.93,10派0.5转8,04-21,2017_4
116,000411,英特集团,0.4,-4.76,,10.42,,8349.05,-3.87,,04-21,2017_4
117,300654,世纪天鸿,0.41,-8.89,,10.44,,3136.48,0.15,,04-21,2017_4
118,000667,美好置业,0.26,-0.08,,9.7,,66438.24,-0.07,10派0.25,04-21,2017_4
119,002235,安妮股份,-0.88,-2507.65,,-16.63,,-36507.18,-3231.1,10转5,04-21,2017_4
120,600770,综艺股份,0.03,-12.69,,1.29,,4471.67,-12.72,,04-21,2017_4
121,002641,永高股份,0.17,-32.0,,7.37,,19265.43,-10.33,10派0.26,04-21,2017_4
122,300390,天华超净,0.09,80.0,,3.84,,3191.19,98.61,10派0.3,04-21,2017_4
123,000813,德展健康,0.36,-46.93,,19.2,,79717.77,20.48,,04-21,2017_4
124,601599,鹿港文化,0.33,65.0,,10.54,,29320.26,64.09,10派1.1,04-21,2017_4
125,300006,莱美药业,0.07,655.56,,3.36,,5556.15,695.88,10派0.5,04-21,2017_4
126,600603,广汇物流,0.41,-42.25,,6.64,,34856.73,41.19,10转4,04-21,2017_4
127,300053,欧比特,0.19,33.79,,5.85,,12087.4,42.89,10派0.2,04-21,2017_4
128,600130,波导股份,-0.2,-600.0,,-16.62,,-15270.69,-595.68,,04-21,2017_4
129,000997,新大陆,0.69,37.54,,20.61,,65408.31,41.78,10派0.8,04-21,2017_4
130,002531,天顺风能,0.26,-3.7,,9.95,,46951.18,15.51,10派0.33,04-21,2017_4
131,300219,鸿利智汇,0.51,142.86,,15.35,,35348.98,155.84,10派0.5,04-21,2017_4
132,002141,贤丰控股,0.01,-21.36,,0.7,,915.72,8.57,10派0.01,04-21,2017_4
133,300396,迪瑞医疗,1.09,33.12,,14.44,,16739.28,33.77,10派2.5转8,04-21,2017_4
134,002847,盐津铺子,0.54,-41.3,,11.96,,6573.73,-23.25,,04-21,2017_4
135,300461,田中精机,0.32,60.0,,6.57,,2122.4,58.81,,04-21,2017_4
136,600566,济川药业,1.51,29.06,,31.78,,122346.35,30.97,10派10,04-21,2017_4
137,300015,爱尔眼科,0.5,-11.61,,21.74,,74251.45,33.19,10派3转5,04-21,2017_4
138,002512,达华智能,0.16,7.57,,5.99,,17122.53,7.61,10派0.45,04-21,2017_4
139,002100,天康生物,0.42,2.44,,14.66,,40714.98,3.72,10派1,04-21,2017_4
140,603222,济民制药,0.17,30.77,,6.86,,5288.44,29.32,,04-21,2017_4
141,002694,顾地科技,0.2,66.67,,11.01,,11378.41,186.02,10派0.04,04-21,2017_4
142,600330,天通股份,0.19,42.11,,4.26,,15686.4,42.17,10派0.5转2,04-21,2017_4
143,002806,华锋股份,0.21,-44.74,,7.88,,2850.1,8.51,,04-21,2017_4
144,002418,康盛股份,0.18,5.88,,9.61,,20806.98,9.04,10派0.3,04-21,2017_4
145,002443,金洲管道,0.31,158.33,,7.9,,16265.16,158.91,10派1,04-21,2017_4
146,000056,皇庭国际,0.15,50.0,,3.41,,17782.37,56.71,10派0.4,04-21,2017_4
147,300158,振东制药,0.58,4.91,,5.6,,30153.59,48.49,10派0.4转10,04-21,2017_4
148,603111,康尼机电,0.38,16.33,,20.0,,28089.72,17.07,10派1.2,04-21,2017_4
149,000563,陕国投A,0.11,-31.61,,4.5,,35223.65,-31.64,10派0.2,04-21,2017_4
150,002276,万马股份,0.12,-47.83,,3.26,,11495.17,-46.59,,04-21,2017_4
151,300410,正业科技,1.05,133.29,,11.07,,19758.53,171.27,10派1.02,04-21,2017_4
152,000788,北大医药,0.06,200.0,,2.96,,3426.1,172.8,10派0.13,04-21,2017_4
153,600530,交大昂立,0.21,17.05,,9.72,,16043.15,16.93,10派0.65,04-21,2017_4
154,300521,爱司凯,0.25,-62.69,,7.61,,3668.03,-21.41,,04-21,2017_4
155,600129,太极集团,0.23,-88.5,,7.74,,9813.35,-88.5,,04-21,2017_4
156,600184,光电股份,0.09,50.0,,1.97,,4440.66,49.98,10派0.28,04-21,2017_4
157,002557,洽洽食品,0.63,-10.0,,10.74,,31922.21,-9.75,10派3.5,04-21,2017_4
158,002088,鲁阳节能,0.61,35.56,,12.02,,21375.13,104.22,10派5,04-21,2017_4
159,603189,网达软件,0.17,-58.54,,4.68,,3720.49,-48.83,,04-21,2017_4
160,603319,湘油泵,1.37,51.72,,17.1,,11052.2,96.23,,04-21,2017_4
161,002716,金贵银业,0.47,62.07,,8.41,,25345.49,75.39,10派1,04-21,2017_4
162,600371,万向德农,0.26,8.33,,12.79,,5763.26,4.96,10派2,04-21,2017_4
163,000821,京山轻机,0.32,77.78,,8.47,,15322.45,79.5,10派0.27,04-21,2017_4
164,002390,信邦制药,0.19,26.67,,4.93,,31938.35,29.82,10派0.3,04-21,2017_4
165,603919,金徽酒,0.69,-18.82,,14.58,,25296.14,14.02,,04-21,2017_4
166,600609,金杯汽车,0.09,-148.42,,13.87,,10071.3,-148.32,,04-21,2017_4
167,000038,深大通,0.67,-27.72,,6.71,,35058.01,50.3,10派4,04-21,2017_4
168,600702,舍得酒业,0.43,79.02,,5.99,,14357.21,79.02,10派0.43,04-21,2017_4
169,002567,唐人神,0.39,-4.41,,10.33,,31030.55,54.37,10派1.5,04-21,2017_4
170,300174,元力股份,0.2,-36.47,,8.7,,4867.67,14.4,10派0.5,04-21,2017_4
171,000503,海虹控股,0.02,-40.38,,1.17,,1667.49,-40.49,,04-21,2017_4
172,000530,大冷股份,0.23,-25.81,,5.97,,20075.98,12.39,10派0.5,04-21,2017_4
173,300729,乐歌股份,0.95,0.0,,16.07,,6282.78,4.57,10派2,04-21,2017_4
174,300070,碧水源,0.8,33.33,,14.99,,250938.39,35.95,10派0.9,04-21,2017_4
175,600150,中国船舶,-1.67,-11.64,,-15.94,,-230006.57,-11.77,,04-21,2017_4
176,300157,恒泰艾普,-0.63,-584.62,,-12.54,,-44613.54,-625.15,,04-21,2017_4
177,002574,明牌珠宝,0.17,112.5,,2.82,,8725.37,99.6,10派0.5,04-21,2017_4
178,000417,合肥百货,0.27,-24.81,,5.89,,21314.8,-24.81,10派1.5,04-21,2017_4
179,300210,森远股份,0.11,-60.71,,4.35,,5542.29,-27.52,10派0.12,04-21,2017_4
180,300070,碧水源,0.8,33.33,,14.99,,250938.39,35.95,10派0.9,04-21,2017_4
181,600150,中国船舶,-1.67,-11.64,,-15.94,,-230006.57,-11.77,,04-21,2017_4
182,300157,恒泰艾普,-0.63,-584.62,,-12.54,,-44613.54,-625.15,,04-21,2017_4
183,002574,明牌珠宝,0.17,112.5,,2.82,,8725.37,99.6,10派0.5,04-21,2017_4
184,000417,合肥百货,0.27,-24.81,,5.89,,21314.8,-24.81,10派1.5,04-21,2017_4
185,300210,森远股份,0.11,-60.71,,4.35,,5542.29,-27.52,10派0.12,04-21,2017_4
186,600281,太化股份,0.01,-76.88,,1.37,,761.08,-76.89,,04-21,2017_4
187,000751,锌业股份,0.16,68.42,,9.98,,22689.43,68.82,,04-21,2017_4
188,300475,聚隆科技,0.44,-8.33,,7.49,,8740.31,-9.55,10派0.88,04-21,2017_4
189,603908,牧高笛,0.8,-15.79,,13.37,,5004.72,5.39,,04-21,2017_4
190,000931,中关村,0.02,-52.84,,1.15,,1426.16,-47.87,,04-21,2017_4
191,601877,正泰电器,1.34,2.29,,15.35,,283985.47,29.98,10派7,04-21,2017_4
192,000422,湖北宜化,-5.74,301.05,,-160.93,,-509069.52,307.44,,04-21,2017_4
193,603507,振江股份,1.17,-23.97,,16.49,,11603.97,-19.77,10派2.8,04-21,2017_4
194,300335,迪森股份,0.59,67.63,,18.35,,21302.22,67.06,10派1.2,04-21,2017_4
195,002097,山河智能,0.2,120.54,,5.34,,16227.53,142.49,10派0.5,04-21,2017_4
196,000735,罗牛山,0.13,80.19,,4.36,,15296.52,91.49,,04-21,2017_4
197,002394,联发股份,1.11,-8.77,,12.17,,36028.65,-8.56,10派5,04-21,2017_4
198,600100,同方股份,0.04,-97.59,,0.48,,10363.93,-97.59,10派0.15,04-21,2017_4
199,300184,力源信息,0.54,344.39,,9.51,,32381.85,583.9,10派0.5,04-21,2017_4
200,300707,威唐工业,1.32,42.74,,24.1,,8458.67,55.38,,04-21,2017_4
201,300251,光线传媒,0.28,12.0,,10.98,,81515.69,10.02,10派2,04-21,2017_4
202,300360,炬华科技,0.43,-39.44,,11.19,,15730.8,-38.43,10派0.8,04-21,2017_4
203,000750,国海证券,0.09,-62.5,,2.75,,37576.02,-63.0,10派0.6,04-21,2017_4
204,600033,福建高速,0.24,-2.25,,7.66,,65619.35,-2.23,10派1.2,04-21,2017_4
205,600624,复旦复华,0.06,10.71,,3.84,,4247.5,11.32,10派0.25,04-21,2017_4
