code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,c_name
603323,吴江银行,0.946,7.47,7.4,7.55,7.37,7.4,8417694.0,1.38693,62825109.0,14.94,1.2610000000000001,1081718.991522,453375.179397,
603167,渤海轮渡,-0.853,10.46,10.54,10.57,10.45,10.55,5497600.0,1.142,57770092.0,13.884,1.4809999999999999,503544.4,503544.4,交通运输
603123,翠微股份,-0.285,7.0,7.05,7.05,6.95,7.02,655866.0,0.12513000000000002,4592607.0,25.0,1.198,366900.9554,366900.9554,商业百货
603001,奥康国际,-0.434,13.78,13.85,13.99,13.74,13.84,1360665.0,0.33933,18817459.0,24.398,1.316,552550.44,552550.44,服装鞋类
601998,中信银行,1.657,6.75,6.65,6.8,6.64,6.64,29585494.0,0.09273,199407180.0,8.036,0.888,33030987.686775,21535985.738475,金融行业
601997,贵阳银行,1.176,13.76,13.62,13.87,13.61,13.6,19693063.0,1.58948,270701376.0,6.985,1.216,3162862.4544,1704815.97072,
601992,金隅集团,-1.896,4.14,4.2,4.24,4.13,4.22,26517609.0,0.32555,111007507.0,15.333,1.083,4420597.249476,3372228.31428,
601991,大唐发电,-0.592,3.36,3.38,3.39,3.36,3.38,6081100.0,0.06085000000000001,20517315.0,26.128,1.123,6218254.729344,3358104.96,电力行业
601988,中国银行,0.0,3.9,3.9,3.93,3.88,3.9,147699296.0,0.07008,577177185.0,6.964,0.8180000000000001,114811238.58399,82198550.78994,金融行业
601939,建设银行,0.258,7.76,7.75,7.87,7.66,7.74,155262833.0,1.61839,1207130551.0,8.083,1.093,194008518.52914,7444678.302256,金融行业
601929,吉视传媒,-1.455,2.71,2.75,2.75,2.71,2.75,7051400.0,0.22667,19249979.0,22.452,1.295,843027.123032,843027.123032,传媒娱乐
601928,凤凰传媒,0.143,7.01,7.01,7.08,6.98,7.0,3326204.0,0.1307,23388065.0,15.302,1.415,1783974.9,1783974.9,传媒娱乐
601898,中煤能源,-1.149,5.16,5.22,5.24,5.13,5.22,9766073.0,0.10671000000000001,50516532.0,28.667,0.754,6841470.3144,4722432.2064,煤炭行业
601886,江河集团,-0.354,8.44,8.5,8.53,8.42,8.47,2458400.0,0.21302000000000001,20782610.0,21.1,1.397,974018.2,974018.2,建筑建材
601838,成都银行,2.262,10.85,10.58,10.99,10.55,10.61,37339321.0,10.33686,402780800.0,9.042,1.379,3919292.69739,391929.27039,
601828,美凯龙,-0.863,16.08,16.08,16.3,15.97,16.22,8409807.0,2.6697800000000003,135704848.0,14.23,1.419,6333778.597104,506520.0,
601818,光大银行,0.488,4.12,4.1,4.15,4.1,4.1,63437628.0,0.15935000000000002,261972151.0,6.438,0.783,21625545.997368,16401906.971368,金融行业
601800,中国交建,0.698,12.99,12.9,13.02,12.84,12.9,5466432.0,0.04653,70816131.0,10.736,1.28,21010981.317075,15259658.817075,建筑建材
601789,宁波建工,0.0,4.0,4.03,4.04,3.98,4.0,4103500.0,0.42041000000000006,16449007.0,18.248,1.473,390432.0,390432.0,建筑建材
601788,光大证券,0.861,12.89,12.77,12.95,12.77,12.78,7208655.0,0.18452000000000002,92835958.0,19.703,1.201,5943305.266671,5035734.803471,金融行业
601718,际华集团,0.21,4.77,4.75,4.8,4.75,4.76,6453164.0,0.14694000000000002,30820244.0,26.5,1.105,2094807.225708,2094807.225708,服装鞋类
601699,潞安环能,-1.126,10.54,10.73,10.8,10.45,10.66,40851101.0,1.36561,434217718.0,11.333,1.417,3152945.2968,3152945.2968,煤炭行业
601678,滨化股份,0.293,6.85,6.81,6.98,6.77,6.83,18698351.0,1.21072,128780011.0,9.786,1.422,1057914.0,1057914.0,化工行业
601677,明泰铝业,-0.087,11.44,11.44,11.53,11.42,11.45,1803100.0,0.36212000000000005,20699199.0,15.671,1.203,674942.07924,569635.44352,有色金属
601669,中国电建,-0.478,6.25,6.26,6.3,6.22,6.28,8950695.0,0.08032,56019348.0,13.053,1.2850000000000001,9561896.89,6965250.9625,建筑建材
601668,中国建筑,0.352,8.56,8.56,8.59,8.49,8.53,72184481.0,0.24279000000000003,615917575.0,8.0,1.252,25680000.0,25450338.039352,建筑建材
601666,平煤股份,-0.881,4.5,4.55,4.58,4.48,4.54,16902589.0,0.71586,76559285.0,7.716,0.866,1062524.2419,1062524.2419,煤炭行业
601618,中国中冶,0.806,3.75,3.72,3.76,3.72,3.72,28215464.0,0.15805000000000002,105586913.0,14.423,1.175,7771357.18875,6694732.18875,建筑建材
601588,北辰实业,-0.485,4.1,4.12,4.12,4.09,4.12,3209256.0,0.12065000000000001,13156957.0,12.059,1.043,1380478.2,1090600.0,房地产
601398,工商银行,0.0,6.07,6.09,6.15,6.03,6.07,249877029.0,0.09268000000000001,1520366403.0,7.684,1.038,216338598.05302,163654613.01117,金融行业
601390,中国中铁,0.0,7.47,0.0,0.0,0.0,7.47,0.0,0.0,0.0,11.166,1.151,17064693.252621,13691039.332545,建筑建材
601377,兴业证券,-0.155,6.43,6.45,6.49,6.41,6.44,16291827.0,0.24328000000000002,105051591.0,18.719,1.2770000000000001,4305959.886382,4305959.886382,金融行业
601339,百隆东方,0.0,4.94,4.92,4.95,4.9,4.94,1931465.0,0.12876,9510790.0,14.97,1.02,741000.0,741000.0,纺织行业
601328,交通银行,0.322,6.24,6.22,6.27,6.2,6.22,72166125.0,0.18386000000000002,449852660.0,6.857,0.768,46339941.42648,24492539.14536,金融行业
601288,农业银行,0.767,3.94,3.92,3.96,3.92,3.91,246056766.0,0.08368,970220677.0,6.793,0.927,127968882.098,115857785.79818,金融行业
601229,上海银行,1.032,15.67,15.48,15.7,15.46,15.51,18681943.0,0.50392,291344518.0,7.995,0.93,12231665.095,5809325.40442,
601222,林洋能源,-0.89,6.68,6.73,6.77,6.67,6.74,8648489.0,0.49452,58138808.0,17.128,1.336,1179482.135092,1168242.099892,仪器仪表
601211,国泰君安,-0.112,17.77,17.8,17.9,17.7,17.79,12590713.0,0.26604,224209239.0,16.009,1.3559999999999999,15484670.816691,8410001.206041,
601188,龙江交通,-0.744,4.0,4.01,4.04,3.99,4.03,1959000.0,0.14887,7859738.0,14.92,1.286,526351.4284,526351.4284,公路桥梁
601186,中国铁建,-0.912,9.78,9.9,9.91,9.74,9.87,17020538.0,0.14796,167310754.0,8.431,0.9560000000000001,13280791.587,11250174.099,建筑建材
601179,中国西电,0.0,3.89,3.9,3.9,3.87,3.89,3972500.0,0.0775,15451158.0,22.229,1.021,1993968.234928,1993968.234928,发电设备
601169,北京银行,0.291,6.9,6.9,6.94,6.87,6.88,21888363.0,0.11995000000000001,151087140.0,6.97,0.891,14588659.14768,12591127.46718,金融行业
601166,兴业银行,0.306,16.37,16.38,16.47,16.33,16.32,49041218.0,0.2574,803700252.0,5.974,0.8290000000000001,34007350.259387,31188675.261387,金融行业
601128,常熟银行,1.601,6.98,6.87,7.03,6.86,6.87,15531316.0,1.55781,108054250.0,12.246,1.345,1551464.122362,695904.407862,
601126,四方股份,-0.313,6.37,6.37,6.47,6.35,6.39,2020475.0,0.24847000000000002,12949802.0,21.966,1.318,517990.564,517990.564,发电设备
601117,中国化学,0.773,7.82,7.85,7.92,7.73,7.76,20111961.0,0.4077,157493869.0,24.438,1.342,3857606.0,3857606.0,建筑建材
601107,四川成渝,-0.257,3.88,3.88,3.91,3.87,3.89,1994600.0,0.09223,7765334.0,13.356,0.8300000000000001,1186527.28,839143.12,公路桥梁
601101,昊华能源,-1.304,6.81,6.93,6.99,6.78,6.9,8244675.0,0.68706,56724560.0,13.096,1.052,817198.823232,817198.823232,煤炭行业
601088,中国神华,0.373,21.5,21.59,21.75,21.39,21.42,23344328.0,0.14156000000000002,502320817.0,9.496,1.363,42762683.97825,35455731.60325,煤炭行业
601058,赛轮金宇,1.333,3.04,3.0,3.07,3.0,3.0,12987895.0,0.56618,39538445.0,21.714,1.375,821244.059792,697356.913056,汽车制造
601009,南京银行,1.965,8.82,8.62,9.02,8.61,8.65,95306989.0,1.1810800000000001,842609929.0,8.092,1.22,7481307.388968,7117301.832102,金融行业
601006,大秦铁路,-1.361,8.7,8.83,8.87,8.63,8.82,44257657.0,0.29769,385947391.0,9.667,1.249,12934108.59717,12934108.59717,交通运输
601000,唐山港,0.221,4.54,4.55,4.58,4.53,4.53,7816821.0,0.18365,35591406.0,14.188,1.389,2069516.608204,1932346.351184,交通运输
600997,开滦股份,0.538,5.61,5.6,5.69,5.59,5.58,9533845.0,0.7722,53878568.0,17.0,0.931,890755.716411,692633.04,煤炭行业
600982,宁波热电,-1.299,3.8,3.84,3.85,3.79,3.85,1344078.0,0.17995000000000003,5140984.0,29.572,1.123,283833.4,283833.4,供水供气
600979,广安爱众,-0.43,4.63,4.65,4.65,4.59,4.65,2095594.0,0.29191,9665353.0,15.764,1.235,438874.063598,332384.063598,电力行业
600978,宜华生活,-0.755,7.89,7.97,7.97,7.86,7.95,4142582.0,0.27936,32764208.0,15.471,1.444,1169984.433156,1169984.433156,家具行业
600971,恒源煤电,-0.661,7.51,7.56,7.63,7.48,7.56,8867600.0,0.8867600000000001,66932222.0,6.827,1.047,751003.05657,751003.05657,煤炭行业
600966,博汇纸业,-0.58,5.14,5.18,5.21,5.12,5.17,8833250.0,0.6607500000000001,45613001.0,8.026,1.328,687137.964032,687137.964032,造纸行业
600963,岳阳林纸,-1.923,6.12,6.23,6.27,6.1,6.24,15245042.0,1.46143,94101897.0,21.857,1.068,855412.686576,638413.398576,造纸行业
600960,渤海活塞,-1.02,6.79,6.84,6.84,6.73,6.86,2521076.0,0.37068,17090949.0,27.084,1.422,645400.036722,461807.293598,汽车制造
600926,杭州银行,1.125,11.69,11.51,11.78,11.51,11.56,13445685.0,0.9121100000000001,156870971.0,9.427,0.981,4283717.36072,1723257.511752,
600919,江苏银行,0.554,7.26,7.22,7.29,7.22,7.22,23766645.0,0.39890000000000003,172347911.0,7.049,0.886,8381270.7,4325499.765708,
600908,无锡银行,0.437,6.89,6.85,6.97,6.82,6.86,8858349.0,1.10133,61028781.0,12.759,1.332,1273351.106846,554183.795802,
600894,广日股份,0.0,7.7,7.68,7.75,7.67,7.7,1885205.0,0.21922000000000003,14547034.0,16.62,0.968,662159.10915,662159.10915,交通运输
600891,秋林集团,-1.12,6.18,6.23,6.23,6.17,6.25,1516101.0,0.39476000000000006,9392698.0,23.769,1.2469999999999999,381668.026254,237346.021518,商业百货
600881,亚泰集团,0.222,4.52,4.51,4.55,4.5,4.51,5119880.0,0.19692,23149250.0,16.741,0.996,1468508.941776,1175175.473124,水泥行业
600863,内蒙华电,-1.498,2.63,2.66,2.67,2.62,2.67,6529533.0,0.11243000000000002,17287179.0,29.222,1.4929999999999999,1527436.935,1527436.935,电力行业
600837,海通证券,0.345,11.64,11.66,11.76,11.61,11.6,24755210.0,0.30592,289145929.0,15.52,1.124,13387978.8,9419240.69352,金融行业
600827,百联股份,-0.263,11.39,11.43,11.54,11.27,11.42,8576646.0,0.5559200000000001,97216180.0,24.234,1.221,2032167.485263,1757223.635145,商业百货
600823,世茂股份,0.411,4.89,4.89,4.91,4.87,4.87,8390540.0,0.22368000000000002,41020695.0,8.288,0.834,1834321.279629,1834321.279629,房地产
600820,隧道股份,-0.567,7.01,7.06,7.08,7.0,7.05,7534300.0,0.23963,53028950.0,12.086,1.129,2204011.361894,2204011.361894,建筑建材
600811,东方集团,0.0,4.39,4.38,4.4,4.37,4.39,7710507.0,0.23555,33801110.0,21.208,0.8160000000000001,1630698.918436,1437054.787041,综合行业
600808,马钢股份,-0.781,3.81,3.84,3.85,3.79,3.84,29366777.0,0.49209,112276616.0,7.106,1.159,2933959.531866,2273713.201866,钢铁行业
600795,国电电力,-0.347,2.87,2.89,2.89,2.86,2.88,31903000.0,0.16235000000000002,91768173.0,27.333,1.129,5639664.181515,5639664.181515,电力行业
