code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,c_name
603979,金诚信,0.106,9.45,9.47,9.54,9.42,9.44,1513192.0,0.6223000000000001,14337013.0,22.5,1.454,552825.0,229786.5024,
603366,日出东方,-1.9680000000000002,5.48,5.59,5.59,5.48,5.59,2876400.0,0.35955000000000004,15888716.0,17.979,1.18,438400.0,438400.0,家电行业
603323,吴江银行,-1.525,7.75,7.86,7.9,7.74,7.87,5814545.0,0.9580299999999999,45479900.0,12.109000000000002,1.3530000000000002,1122265.35265,470369.162025,
603118,共进股份,-1.445,7.5,7.63,7.64,7.49,7.61,4232560.0,0.54562,31947180.0,7.075,1.355,586362.744,581799.999,电子器件
603001,奥康国际,0.816,13.59,13.48,13.71,13.42,13.48,1967817.0,0.49075,26823050.0,17.855999999999998,1.347,544931.82,544931.82,服装鞋类
601998,中信银行,-2.262,6.48,6.62,6.63,6.48,6.63,33333320.0,0.10447999999999999,217720152.0,7.7139999999999995,0.7929999999999999,31709748.179303996,20674546.308936,金融行业
601997,贵阳银行,-1.07,14.79,14.92,14.94,14.77,14.95,8369019.0,0.6754800000000001,124321967.0,7.952000000000001,1.443,3399617.4201,1832429.375505,
601992,金隅集团,-1.4609999999999999,4.72,4.79,4.8,4.72,4.79,19930202.0,0.24468,94823593.0,17.480999999999998,0.631,5039907.975248001,3844666.09744,
601991,大唐发电,-0.84,3.54,3.57,3.58,3.54,3.57,7966633.0,0.07971,28317321.0,27.526999999999997,1.136,6551375.5184160005,3538003.44,电力行业
601988,中国银行,-1.7630000000000001,3.9,3.95,3.96,3.9,3.97,133458522.0,0.06332,524563715.0,6.9639999999999995,0.8230000000000001,114811238.58399,82198550.78994,金融行业
601939,建设银行,-2.2640000000000002,7.77,7.89,7.93,7.76,7.95,94390448.0,0.98388,740406867.0,8.094,1.133,194258529.50662,7454271.959861999,金融行业
601929,吉视传媒,0.0,2.78,2.77,2.79,2.76,2.78,4598400.0,0.14782,12766650.0,23.619,1.339,864802.731376,864802.731376,传媒娱乐
601898,中煤能源,-1.37,5.04,5.1,5.11,5.03,5.11,7260256.0,0.07933000000000001,36754546.0,28.0,0.7509999999999999,6682366.3536,4612608.2016,煤炭行业
601886,江河集团,-0.233,8.58,8.62,8.64,8.56,8.6,1994829.0,0.17285,17157579.0,21.45,1.4369999999999998,990174.9,990174.9,建筑建材
601818,光大银行,-0.9620000000000001,4.12,4.16,4.16,4.11,4.16,55450115.0,0.13929000000000002,228913709.0,6.438,0.7859999999999999,21625545.710616,16401906.684616,金融行业
